dataset,experiment_type,accuracy,macrof1,active_leaves
adult,No Constraints,0.8068548263259728,0.4568081464790302,15
adult,All Constraints,0.8120143730229415,0.4643715250017603,15
adult,Positive Constraints Only,0.8136727987469672,0.46235371970822414,15
adult,Negative Constraints Only,0.8193237308436473,0.47197616704823764,15
air_quality,No Constraints,0.6892382103990327,0.4477409009947226,2
air_quality,All Constraints,0.4957678355501814,0.32881033849826363,1
air_quality,Positive Constraints Only,0.4957678355501814,0.32881033849826363,1
air_quality,Negative Constraints Only,0.6892382103990327,0.4477409009947226,2
auto_mpg,No Constraints,0.03826530612244898,0.0010679440045248871,1
auto_mpg,All Constraints,0.03826530612244898,0.0010679440045248871,1
auto_mpg,Negative Constraints Only,0.03826530612244898,0.0010679440045248871,1
automobile,No Constraints,0.0,0.0,1
automobile,All Constraints,0.0,0.0,1
automobile,Positive Constraints Only,0.0,0.0,1
automobile,Negative Constraints Only,0.0,0.0,1
flights,No Constraints,0.6079131652661064,0.4046434315210135,39
flights,All Constraints,0.6212484993997599,0.4141669565910277,45
flights,Positive Constraints Only,0.6092036814725891,0.4061375576913527,49
flights,Negative Constraints Only,0.6186174469787915,0.4122212322339653,49
heart_disease,No Constraints,0.531986531986532,0.23150183150183148,1
heart_disease,All Constraints,0.531986531986532,0.23150183150183148,1
heart_disease,Positive Constraints Only,0.531986531986532,0.23150183150183148,1
heart_disease,Negative Constraints Only,0.531986531986532,0.23150183150183148,1
hepatitis,No Constraints,0.825,0.3013698630136986,1
hepatitis,All Constraints,0.825,0.3013698630136986,1
hepatitis,Positive Constraints Only,0.825,0.3013698630136986,1
hepatitis,Negative Constraints Only,0.825,0.3013698630136986,1
ionosphere,No Constraints,0.5014245014245015,0.2226438962681847,1
iris,No Constraints,0.32666666666666666,0.12311557788944724,1
iris,All Constraints,0.32666666666666666,0.12311557788944724,1
iris,Positive Constraints Only,0.32666666666666666,0.12311557788944724,1
iris,Negative Constraints Only,0.32666666666666666,0.12311557788944724,1
london,No Constraints,0.7527070024418518,0.5010327623465326,30
london,All Constraints,0.7534839553067114,0.5020055640091236,32
london,Positive Constraints Only,0.7534839553067114,0.5020055640091236,32
london,Negative Constraints Only,0.744308511950275,0.4961425480128335,32
mammographic_mass,No Constraints,0.5072289156626506,0.32448951159085815,1
mammographic_mass,All Constraints,0.5072289156626506,0.32448951159085815,1
mammographic_mass,Positive Constraints Only,0.5072289156626506,0.32448951159085815,1
mammographic_mass,Negative Constraints Only,0.5072289156626506,0.32448951159085815,1
monk_s_problems,No Constraints,0.49193548387096775,0.287638358311294,1
monk_s_problems,All Constraints,0.49193548387096775,0.287638358311294,1
monk_s_problems,Positive Constraints Only,0.49193548387096775,0.287638358311294,1
monk_s_problems,Negative Constraints Only,0.49193548387096775,0.287638358311294,1
ohio,No Constraints,0.846222940806611,0.517366841452368,61
ohio,All Constraints,0.8610682410197366,0.528346405917012,48
ohio,Positive Constraints Only,0.8608314348007153,0.528325747617874,50
ohio,Negative Constraints Only,0.8458391514171627,0.516644209224901,53
spambase,No Constraints,0.5244512062595088,0.3260714681474571,3
spambase,All Constraints,0.5679200173875244,0.36404099244404625,3
spambase,Positive Constraints Only,0.5244512062595088,0.3260714681474571,3
spambase,Negative Constraints Only,0.5679200173875244,0.36404099244404625,3
students,No Constraints,0.9576905095839178,0.5606799037799894,3
students,All Constraints,0.9576905095839178,0.5606799037799894,3
students,Positive Constraints Only,0.9576905095839178,0.5606799037799894,3
students,Negative Constraints Only,0.9576905095839178,0.5606799037799894,3
thoracic_surgery_data,No Constraints,0.8489361702127659,0.30609896432681244,1
thoracic_surgery_data,All Constraints,0.8489361702127659,0.30609896432681244,1
thoracic_surgery_data,Positive Constraints Only,0.8489361702127659,0.30609896432681244,1
thoracic_surgery_data,Negative Constraints Only,0.8489361702127659,0.30609896432681244,1
wine,No Constraints,0.38764044943820225,0.20614950021729683,1
wine,All Constraints,0.38764044943820225,0.20614950021729683,1
wine,Positive Constraints Only,0.38764044943820225,0.20614950021729683,1
wine,Negative Constraints Only,0.38764044943820225,0.20614950021729683,1
